Station Code / Callsign,Station Name / Unit-Type,Address,Comment,Coordinates
H310,DCA,,Mercedes Sprinter,
H311,DCA,,Mercedes Sprinter,
H350,FRU,,Volkswagen Tiguan,
H351,FRU,,Volkswagen Tiguan,
H352,FRU,,Volkswagen Tiguan,
H353,FRU,,Skoda Octavia,
,,,,
H4,Ponders End Ambulance Station,"Carterhatch Ln, Enfield EN3, United Kingdom",,"51.66137338228199, -0.06257467507087959"
H499,CTM,,Volvo XC90,
H401,DCA,,Mercedes Sprinter,
H402,DCA,,Mercedes Sprinter,
H450,FRU,,Volkswagen Tiguan,
,,,,
H5,Tottenham Ambulance Station,"297 St Ann's Rd, London N15 3TL, United Kingdom",,"51.58125436486404, -0.09286160966839065"
H599,CTM,,Volvo XC90,
H501,DCA,,Mercedes Sprinter,
H502,DCA,,Mercedes Sprinter,
H503,DCA,,Mercedes Sprinter,
H550,FRU,,Volkswagen Tiguan,
H551,FRU,,Volkswagen Tiguan,
,,,,
North East Area,,,,
G3,Homerton Ambulance Station,"126 Homerton High St, London E9 6JA, United Kingdom",Group station,"51.547863872092584, -0.045387850604878044"
G399,CTM,,Volvo XC90,
G301,DCA,,Mercedes Sprinter,
G302,DCA,,Mercedes Sprinter,
G303,DCA,,Mercedes Sprinter,
G304,DCA,,Mercedes Sprinter,
G305,DCA,,Mercedes Sprinter,
G306,DCA,,Mercedes Sprinter,
G307,DCA,,Mercedes Sprinter,
G308,DCA,,Mercedes Sprinter,
G350,FRU,,Volkswagen Tiguan,
G351,FRU,,Volkswagen Tiguan,
G352,FRU,,Volkswagen Tiguan,
G353,FRU,,Skoda Octavia,
G354,FRU,,Skoda Octavia,
G386,MRU,,Honda ST 1300,
G387,MRU,,Honda ST 1300,
,,,,
G4,Shoreditch Ambulance Station,"35 Kingsland Rd, London E2 8AA, United Kingdom",,"51.528999724083185, -0.07846950494947248"
G401,DCA,,Mercedes Sprinter,
G402,DCA,,Mercedes Sprinter,
G403,DCA,,Mercedes Sprinter,
G450,FRU,,Volkswagen Tiguan,
G451,FRU,,Volkswagen Tiguan,
G452,FRU,,Volkswagen Tiguan,
G453,FRU,,Volkswagen Tiguan,
G454,FRU,,Skoda Octavia,
,,,,
J1,Poplar Ambulance Station,"4 Harford St, London E1, United Kingdom",,"51.522517879770916, -0.03920440705696591"
J199,CTM,,Volvo XC90,
J101,DCA,,Mercedes Sprinter,
J102,DCA,,Mercedes Sprinter,
J103,DCA,,Mercedes Sprinter,
J150,FRU,,Volkswagen Tiguan,
J151,FRU,,Volkswagen Tiguan,
J152,FRU,,Skoda Octavia,
J153,FRU,,Skoda Octavia,
Y954,TRU,,Ford Transit Custom,
Y955,TRU,,Ford Transit Custom,
Y956,TRU,,Ford Transit Custom,
,,,,
J2,West Ham Ambulance Station,"5 Howards Road London E13 8AU, United Kingdom",,"51.52764668679985, 0.023242623173045557"
J201,DCA,,Mercedes Sprinter,
J202,DCA,,Mercedes Sprinter,
J203,DCA,,Mercedes Sprinter,
J204,DCA,,Mercedes Sprinter,
J205,DCA,,Mercedes Sprinter,
J206,DCA,,Mercedes Sprinter,
J207,DCA,,Mercedes Sprinter,
J208,DCA,,Mercedes Sprinter,
J209,DCA,,Mercedes Sprinter,
J210,DCA,,Mercedes Sprinter,
J211,DCA,,Mercedes Sprinter,
J250,FRU,,Volkswagen Tiguan,
J251,FRU,,Volkswagen Tiguan,
J252,FRU,,Volkswagen Tiguan,
J253,FRU,,Skoda Octavia,
,,,,
J3,Whipps Cross Ambulance Station,"176 James Ln, London E11 1NU, United Kingdom",Group station,"51.57676758064689, 0.005635414483056365"
J399,CTM,,Volvo XC90,
J301,DCA,,Mercedes Sprinter,
J302,DCA,,Mercedes Sprinter,
J303,DCA,,Mercedes Sprinter,
J304,DCA,,Mercedes Sprinter,
J305,DCA,,Mercedes Sprinter,
J306,DCA,,Mercedes Sprinter,
J307,DCA,,Mercedes Sprinter,
J308,DCA,,Mercedes Sprinter,
J309,DCA,,Mercedes Sprinter,
J310,DCA,,Mercedes Sprinter,
J311,DCA,,Mercedes Sprinter,
J350,FRU,,Volkswagen Tiguan,
J351,FRU,,Volkswagen Tiguan,
J352,FRU,,Skoda Octavia,
IR31,IRO,,Mercedes Vito,
,,,,
J4,Walthamstow Ambulance Station,"14 Grove Park Ave, London E4 8SS, United Kingdom",,"51.600968382728496, -0.015126272490073743"
J401,DCA,,Mercedes Sprinter,
J402,DCA,,Mercedes Sprinter,
J450,FRU,,Volkswagen Tiguan,
J451,FRU,,Volkswagen Tiguan,
J452,FRU,,Volkswagen Tiguan,
J453,FRU,,Skoda Octavia,
,,,,
K1,Newham Ambulance Station,"Wellington Rd, London E6 2RQ, United Kingdom",Group station,"51.531489722408345, 0.058131207151943386"
K101,DCA,,Mercedes Sprinter,
K102,DCA,,Mercedes Sprinter,
K103,DCA,,Mercedes Sprinter,
K104,DCA,,Mercedes Sprinter,
K105,DCA,,Mercedes Sprinter,
K106,DCA,,Mercedes Sprinter,
K107,DCA,,Mercedes Sprinter,
K108,DCA,,Mercedes Sprinter,
K109,DCA,,Mercedes Sprinter,
K110,DCA,,Mercedes Sprinter,
K111,DCA,,Ford Transit,
K112,DCA,,Ford Transit,
K113,DCA,,Ford Transit,
K114,DCA,,Volkswagen Tiguan,
K150,FRU,,Volkswagen Tiguan,
K151,FRU,,Volkswagen Tiguan,
K152,FRU,,Volvo XC90,
K153,FRU,,Volvo XC90,
K154,FRU,,Volvo XC90,
K155,FRU,,,
,,,,
K2,Becontree Ambulance Station,"2 Baden Powell Cl, Dagenham RM9 6XN, United Kingdom",,"51.5336006920786, 0.13648411764677815"
K299,CTM,,Volvo XC90,
K201,DCA,,Mercedes Sprinter,
K202,DCA,,Mercedes Sprinter,
K203,DCA,,Mercedes Sprinter,
K204,DCA,,Mercedes Sprinter,
K205,DCA,,Mercedes Sprinter,
K206,DCA,,Mercedes Sprinter,
K207,DCA,,Mercedes Sprinter,
K208,DCA,,Mercedes Sprinter,
K209,DCA,,Mercedes Sprinter,
K210,DCA,,Mercedes Sprinter,
K250,FRU,,Volkswagen Tiguan,
K251,FRU,,Volkswagen Tiguan,
K252,FRU,,Skoda Octavia,
,,,,
K3,Ilford Ambulance Station,"Aldborough Rd. S, Ilford IG3 8HQ, United Kingdom",North East Sector HQ / MRUs,"51.5777153520381, 0.1012815734449941"
AP61,APP,,Volvo XC90,
UP61,APP,,Volvo XC90,
K301,DCA,,Mercedes Sprinter,
K302,DCA,,Mercedes Sprinter,
K303,DCA,,Mercedes Sprinter,
K304,DCA,,Mercedes Sprinter,
K305,DCA,,Mercedes Sprinter,
K306,DCA,,Mercedes Sprinter,
K307,DCA,,Mercedes Sprinter,
K308,DCA,,Mercedes Sprinter,
K309,DCA,,Mercedes Sprinter,
K310,DCA,,Mercedes Sprinter,
K311,DCA,,Mercedes Sprinter,
K350,FRU,,Volkswagen Tiguan,
K351,FRU,,Volkswagen Tiguan,
K352,FRU,,Skoda Octavia,
,,,,
K4,Romford Ambulance Station,"14 Bridge Cl, Romford RM7 0AU, United Kingdom",Group station,"51.572034657540264, 0.1823626279931704"
K499,CTM,,Volvo XC90,
K401,DCA,,Mercedes Sprinter,
K402,DCA,,Mercedes Sprinter,
K403,DCA,,Mercedes Sprinter,
K404,DCA,,Mercedes Sprinter,
K405,DCA,,Mercedes Sprinter,
K406,DCA,,Mercedes Sprinter,
K407,DCA,,Mercedes Sprinter,
K408,DCA,,Mercedes Sprinter,
K409,DCA,,Mercedes Sprinter,
K410,DCA,,Mercedes Sprinter,
K411,DCA,,Mercedes Sprinter,
K450,FRU,,Volkswagen Tiguan,
K451,FRU,,Volkswagen Tiguan,
K452,FRU,,Volkswagen Tiguan,
K453,FRU,,Skoda Octavia,
IR41,IRO,,Mercedes Vito,
,,,,
South East Area,,,,
L1,Barnehurst Ambulance Station,"164 Erith Rd, Bexleyheath DA7 6BZ, United Kingdom",,"51.460781589094516, 0.1538301596803565"
UP62,APP,,Volvo XC90,
L199,CTM,,Volvo XC90,
L101,DCA,,Mercedes Sprinter,
L102,DCA,,Mercedes Sprinter,
L103,DCA,,Mercedes Sprinter,
L104,DCA,,Mercedes Sprinter,
L105,DCA,,Mercedes Sprinter,
L106,DCA,,Mercedes Sprinter,
L107,DCA,,Mercedes Sprinter,
L108,DCA,,Mercedes Sprinter,
L109,DCA,,Mercedes Sprinter,
L110,DCA,,Mercedes Sprinter,
L111,DCA,,Mercedes Sprinter,
L112,DCA,,Mercedes Sprinter,
L150,FRU,,Volkswagen Tiguan,
L151,FRU,,Volkswagen Tiguan,
L152,FRU,,Skoda Octavia,
,,,,
L2,Greenwich Ambulance Station,"392 Shooters Hill Rd, London SE18 4LP, United Kingdom",Group station,"51.47263561021509, 0.04642547991120954"
L299,GSM,,Volkswagen Tiguan,
L201,DCA,,Mercedes Sprinter,
L202,DCA,,Mercedes Sprinter,
L203,DCA,,Mercedes Sprinter,
L204,DCA,,Mercedes Sprinter,
L205,DCA,,Mercedes Sprinter,
L206,DCA,,Mercedes Sprinter,
L207,DCA,,Mercedes Sprinter,
L208,DCA,,Mercedes Sprinter,
L209,DCA,,Mercedes Sprinter,
L210,DCA,,Mercedes Sprinter,
L211,DCA,,Mercedes Sprinter,
L250,FRU,,Volkswagen Tiguan,
L251,FRU,,Skoda Octavia,
L252,FRU,,Volkswagen Tiguan,
,,,,
L3,Mottingham Ambulance Station,"205 Eltham Rd, London SE9 5LN, United Kingdom",,"51.45270879041267, 0.03416846320256686"
L301,DCA,,Mercedes Sprinter,
L302,DCA,,Mercedes Sprinter,
L303,DCA,,Mercedes Sprinter,
L304,DCA,,Mercedes Sprinter,
L305,DCA,,Mercedes Sprinter,
L350,FRU,,Skoda Octavia,
,,,,
L4,St. Pauls Cray Ambulance Station,"4 St Peters Ln, Orpington BR5 2DT, United Kingdom",,"51.40400878085732, 0.10407230487008881"
L401,DCA,,Mercedes Sprinter,
L402,DCA,,Mercedes Sprinter,
L403,DCA,,Mercedes Sprinter,
L404,DCA,,Mercedes Sprinter,
L350,FRU,,Volkswagen Tiguan,
IR51,IRO,,Mercedes Vito,
,,,,
L5,Woolwich Ambulance Station,"New Ferry Approach, London SE18 6DX, United Kingdom",,"51.49434696642917, 0.06162468971154466"
L599,CTM,,Volvo XC90,
L501,DCA,,Mercedes Sprinter,
L502,DCA,,Mercedes Sprinter,
L550,FRU,,Volkswagen Tiguan,
,,,,
M1,Bromley Ambulance Station,"Crown Ln, Bromley BR2 9PW, United Kingdom",Training station / Group station,"51.38938265898592, 0.03678185284449715"
M199,CTM,,Volvo XC90,
M101,DCA,,Mercedes Sprinter,
M102,DCA,,Mercedes Sprinter,
M103,DCA,,Mercedes Sprinter,
M104,DCA,,Mercedes Sprinter,
M105,DCA,,Mercedes Sprinter,
M106,DCA,,Mercedes Sprinter,
M107,DCA,,Mercedes Sprinter,
M108,DCA,,Mercedes Sprinter,
M109,DCA,,Mercedes Sprinter,
M110,DCA,,Mercedes Sprinter,
M150,FRU,,Volkswagen Tiguan,
M151,FRU,,Volkswagen Tiguan,
M152,FRU,,Volkswagen Tiguan,
M153,FRU,,Skoda Octavia,
M154,FRU,,Skoda Octavia,
,,,,
N1,Deptford Ambulance Station,"1 New Cross Rd, London SE14 5DS, United Kingdom",South East Sector HQ/ Group station,"51.47874830579902, -0.053070618643606675"
N101,DCA,,Mercedes Sprinter,
N102,DCA,,Mercedes Sprinter,
N103,DCA,,Mercedes Sprinter,
N104,DCA,,Mercedes Sprinter,
N105,DCA,,Mercedes Sprinter,
N106,DCA,,Mercedes Sprinter,
N150,FRU,,Volkswagen Tiguan,
N151,FRU,,Volkswagen Tiguan,
N152,FRU,,Skoda Octavia,
IR82,IRO,,Mercedes Vito,
,,,,
N3,Waterloo Ambulance Station,"4 Frazier St, London SE1 7BG, United Kingdom",EOC / MRUs (Command Unit seen),"51.499818378822546, -0.10893438769528191"
N399,CTM,,Volvo XC90,
N301,DCA,,Mercedes Sprinter,
N302,DCA,,Mercedes Sprinter,
N303,DCA,,Mercedes Sprinter,
N304,DCA,,Mercedes Sprinter,
N305,DCA,,Mercedes Sprinter,
N306,DCA,,Mercedes Sprinter,
N307,DCA,,Mercedes Sprinter,
N308,DCA,,Mercedes Sprinter,
N309,DCA,,Mercedes Sprinter,
N350,FRU,,Volvo XC90,
N351,FRU,,Volkswagen Tiguan,
Y950,TRU,,Ford Transit Custom,
Y951,TRU,,Ford Transit Custom,
,,,,
N6,Forest Hill Ambulance Station,"51 David's Rd, London SE23 3EP, United Kingdom",,"51.44102090824045, -0.054898353986824355"
N699,CTM,,Volvo XC90,
N601,DCA,,Mercedes Sprinter,
N602,DCA,,Mercedes Sprinter,
N603,DCA,,Mercedes Sprinter,
N604,DCA,,Mercedes Sprinter,
N650,FRU,,Volkswagen Tiguan,
N651,FRU,,Volkswagen Tiguan,
N652,FRU,,Skoda Octavia,
,,,,
P3,Streatham Ambulance Station,"35 Mount Nod Rd, London SW16 2LL, United Kingdom",,"51.43593079121866, -0.11997325160145401"
P399,CTM,,Volvo XC90,
P301,DCA,,Mercedes Sprinter,
P302,DCA,,Mercedes Sprinter,
P303,DCA,,Mercedes Sprinter,
P350,FRU,,Skoda Octavia,
P351,FRU,,Volkswagen Tiguan,
,,,,
Q2,Brixton Ambulance Station,"Milkwood Rd, London SE24 0JE, United Kingdom",,"51.457846508442636, -0.10323415231913555"
Q201,DCA,,Mercedes Sprinter,
Q202,DCA,,Mercedes Sprinter,
Q203,DCA,,Mercedes Sprinter,
Q204,DCA,,Mercedes Sprinter,
Q205,DCA,,Mercedes Sprinter,
Q206,DCA,,Mercedes Sprinter,
Q207,DCA,,Mercedes Sprinter,
Q208,DCA,,Mercedes Sprinter,
Q209,DCA,,Mercedes Sprinter,
Q210,DCA,,Mercedes Sprinter,
Q250,FRU,,Volkswagen Tiguan,
Q251,FRU,,Volkswagen Tiguan,
Q252,FRU,,Volkswagen Tiguan,
Q253,FRU,,Skoda Octavia,
Q254,FRU,,Skoda Octavia,
,,,,
Q3,Oval Ambulance Station,"Foxley Rd, London SW9 6ES, United Kingdom",Group station,"51.47922124719753, -0.10808889551335307"
Q399,CTM,,Volvo XC90,
Q301,DCA,,Mercedes Sprinter,
Q302,DCA,,Mercedes Sprinter,
Q303,DCA,,Mercedes Sprinter,
Q304,DCA,,Mercedes Sprinter,
Q305,DCA,,Mercedes Sprinter,
Q306,DCA,,Mercedes Sprinter,
Q307,DCA,,Mercedes Sprinter,
Q350,FRU,,Volkswagen Tiguan,
Q351,FRU,,Volkswagen Tiguan,
Q352,FRU,,Volkswagen Tiguan,
Q353,FRU,,Volkswagen Tiguan,
Q354,FRU,,Volkswagen Tiguan,
Q355,FRU,,Skoda Octavia,
Q356,FRU,,Skoda Octavia,
,,,,
South West Area,,,,
M2,Croydon Ambulance Station,"168 Primrose Ln, Croydon CR0 8YY, UK",Group station / MRUs,"51.37799585227298, -0.06010828019016415"
AP63,APP,,Volvo XC90,
UP63,APP,,Volvo XC90,
M299,CTM,,Volvo XC90,
M201,DCA,,Mercedes Sprinter,
M202,DCA,,Mercedes Sprinter,
M203,DCA,,Mercedes Sprinter,
M204,DCA,,Mercedes Sprinter,
M205,DCA,,Mercedes Sprinter,
M206,DCA,,Mercedes Sprinter,
M207,DCA,,Mercedes Sprinter,
M208,DCA,,Mercedes Sprinter,
M209,DCA,,Mercedes Sprinter,
M210,DCA,,Mercedes Sprinter,
M250,FRU,,Volkswagen Tiguan,
M251,FRU,,Volkswagen Tiguan,
M252,FRU,,Volkswagen Tiguan,
M253,FRU,,Skoda Octavia,
IR83,IRO,,Volkswagen Tiguan,
MCEV,YM33,,Iveco Daily,
,,,,
M3,New Addington Ambulance Station,"221 Lodge Ln, New Addington, Croydon CR0 0QA, United Kingdom",,"51.3522634329092, -0.024336656215496834"
M301,DCA,,Mercedes Sprinter,
M302,DCA,,Mercedes Sprinter,
M350,FRU,,Skoda Octavia,
M351,FRU,,Volkswagen Tiguan,
,,,,
P1,Coulsdon Ambulance Station,"21 Ullswater Cres, Coulsdon CR5 2HR, United Kingdom",,"51.31590466902413, -0.13176180885569652"
P199,CTM,,Volvo XC90,
P101,DCA,,Mercedes Sprinter,
P102,DCA,,Mercedes Sprinter,
P103,DCA,,Mercedes Sprinter,
P104,DCA,,Mercedes Sprinter,
P150,FRU,,Volvo XC90,
P151,FRU,,Volkswagen Tiguan,
P152,FRU,,Volvo XC90,
,,,,
P2,South Croydon Ambulance Station,"123 Waddon Way, South Croydon CR0 6MD United Kingdom",,"51.35818353391892, -0.1129061021863375"
P201,DCA,,Mercedes Sprinter,
P202,DCA,,Mercedes Sprinter,
P203,DCA,,Mercedes Sprinter,
P204,DCA,,Mercedes Sprinter,
P250,FRU,,Volkswagen Tiguan,
P251,FRU,,Volkswagen Tiguan,
P252,FRU,,Skoda Octavia,
,,,,
Q1,Battersea Ambulance Station,"119 Battersea Rise, London SW11 1HW, United Kingdom",,"51.460514298704545, -0.1685637388575296"
AP64,APP,,Volvo XC90,
Q199,CTM,,Volvo XC90,
Q101,DCA,,Mercedes Sprinter,
Q102,DCA,,Mercedes Sprinter,
Q103,DCA,,Mercedes Sprinter,
Q150,FRU,,Volkswagen Tiguan,
,,,,
Q4,Putney Ambulance Station,"48 West Hill, London SW18 1RX, United Kingdom",,"51.456862736196584, -0.20164584294521273"
Q401,DCA,,Mercedes Sprinter,
Q402,DCA,,Mercedes Sprinter,
Q403,DCA,,Mercedes Sprinter,
Q450,FRU,,Volkswagen Tiguan,
Q451,FRU,,Skoda Octavia,
,,,,
R1,St. Helier Ambulance Station,"Bishopsford Rd, Carshalton, Morden SM4 6BN, United Kingdom",Group station,"51.3867723424365, -0.18420331029520123"
R199,CTM,,Volvo XC90,
R101,DCA,,Mercedes Sprinter,
R102,DCA,,Mercedes Sprinter,
R103,DCA,,Mercedes Sprinter,
R104,DCA,,Mercedes Sprinter,
R105,DCA,,Mercedes Sprinter,
R106,DCA,,Mercedes Sprinter,
R107,DCA,,Mercedes Sprinter,
R108,DCA,,Mercedes Sprinter,
R109,DCA,,Mercedes Sprinter,
R150,FRU,,Volkswagen Tiguan,
R151,FRU,,Volkswagen Tiguan,
R152,FRU,,Volkswagen Tiguan,
R153,FRU,,Volkswagen Tiguan,
R154,FRU,,Skoda Octavia,
R155,FRU,,Skoda Octavia,
IR61,IRO,,Mercedes Vito,
,,,,
R3,Wimbledon Ambulance Station,"5 Nursery Rd, London SW19 4JA, United Kingdom",Group station,"51.4160630742304, -0.2168318909271899"
R399,CTM,,Volvo XC90,
R301,DCA,,Mercedes Sprinter,
R302,DCA,,Mercedes Sprinter,
R303,DCA,,Mercedes Sprinter,
R304,DCA,,Mercedes Sprinter,
R305,DCA,,Mercedes Sprinter,
R306,DCA,,Mercedes Sprinter,
R307,DCA,,Mercedes Sprinter,
R308,DCA,,Mercedes Sprinter,
R309,DCA,,Mercedes Sprinter,
R310,DCA,,Mercedes Sprinter,
R311,DCA,,Mercedes Sprinter,
R312,DCA,,Mercedes Sprinter,
R350,FRU,,Volkswagen Tiguan,
R351,FRU,,Volkswagen Tiguan,
R352,FRU,,Skoda Octavia,
,,,,
S1,New Malden Ambulance Station,"21 Wellington Cres, New Malden KT3 3NP, United Kingdom",South West Sector HQ / Training station / Group station,"51.402709285022624, -0.2693383400322292"
S101,DCA,,Mercedes Sprinter,
S102,DCA,,Mercedes Sprinter,
S103,DCA,,Mercedes Sprinter,
S104,DCA,,Mercedes Sprinter,
S105,DCA,,Mercedes Sprinter,
S106,DCA,,Mercedes Sprinter,
S107,DCA,,Mercedes Sprinter,
S108,DCA,,Mercedes Sprinter,
S109,DCA,,Mercedes Sprinter,
S110,DCA,,Mercedes Sprinter,
S150,FRU,,Volkswagen Tiguan,
S151,FRU,,Volkswagen Tiguan,
S152,FRU,,Skoda Octavia,
IR91,IRO,,Volkswagen Tiguan,
,,,,
S2,Richmond Ambulance Station,"73 Kings Rd, Richmond TW10 6EG, United Kingdom",,"51.461363542924715, -0.29391964806161935"
S299,CTM,,Volvo XC90,
S201,DCA,,Mercedes Sprinter,
S202,DCA,,Mercedes Sprinter,
S203,DCA,,Mercedes Sprinter,
S204,DCA,,Mercedes Sprinter,
S205,DCA,,Mercedes Sprinter,
S206,DCA,,Mercedes Sprinter,
S207,DCA,,Mercedes Sprinter,
S208,DCA,,Mercedes Sprinter,
S250,FRU,,Volkswagen Tiguan,
S251,FRU,,Volkswagen Tiguan,
S252,FRU,,Skoda Octavia,
,,,,
North West Area,,,,
A1,Feltham Ambulance Station,"104 Faggs Rd, Feltham TW14 0LH, United Kingdom",,"51.46091962515458, -0.4140025052066723"
A199,CTM,,Volvo XC90,
A101,DCA,,Mercedes Sprinter,
A102,DCA,,Ford Transit,
A103,DCA,,Ford Transit,
A150,FRU,,Volkswagen Tiguan,
A151,FRU,,Volvo XC90,
,,,,
A2,Isleworth Ambulance Station,"105 Mogden Ln, Isleworth TW7 7LJ, United Kingdom",,"51.45953701579695, -0.33672212827347525"
A201,DCA,,Mercedes Sprinter,
A202,DCA,,Mercedes Sprinter,
A203,DCA,,Mercedes Sprinter,
A204,DCA,,Mercedes Sprinter,
A205,DCA,,Mercedes Sprinter,
A206,DCA,,Mercedes Sprinter,
A207,DCA,,Mercedes Sprinter,
A208,DCA,,Mercedes Sprinter,
A209,DCA,,Mercedes Sprinter,
A210,DCA,,Mercedes Sprinter,
A211,DCA,,Mercedes Sprinter,
A250,FRU,,Volkswagen Tiguan,
A251,FRU,,Volkswagen Tiguan,
A252,FRU,,Volkswagen Tiguan,
A253,FRU,,Volvo XC90,
IR71,IRO,,Mercedes Vito,
,,,,
A4,Heathrow Airport Station,"450 Northern Perimeter Rd, Hayes, Hounslow TW6 2RL, United Kingdom",,"51.48012648110216, -0.4581269220324408"
A499,CTM,,Volvo XC90,
A401,DCA,,Mercedes Sprinter,
A402,DCA,,Mercedes Sprinter,
A403,DCA,,Mercedes Sprinter,
A404,DCA,,Mercedes Sprinter,
A450,FRU,,Volkswagen Tiguan,
A451,FRU,,Volkswagen Tiguan,
A452,FRU,,Volvo XC90,
IR73,IRO,,Volkswagen Tiguan,
,,,,
B1,Greenford Ambulance Station,"479 Greenford Rd, Greenford UB6 8QR, United Kingdom",,"51.5349177006561, -0.3475116638431819"
B199,CTM,,Volvo XC90,
B101,DCA,,Mercedes Sprinter,
B102,DCA,,Ford Transit,
B103,DCA,,Ford Transit,
B150,FRU,,Volkswagen Tiguan,
B151,FRU,,Volkswagen Tiguan,
,,,,
